source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J012743.51+135420.9,L5.5,75.5,15.899,16.829,15.43,14.505,14.215
SDSS J014658.14+002132.7,L0,70.0,16.296,16.564,15.404,15.205,14.903
SDSS J015354.23+140452.9,L0,70.0,14.484,15.208,13.958,13.634,13.389
SDSS J020551.36-075925.0,L2,72.0,15.169,16.031,14.358,14.013,13.698
SDSS J020551.36-075925.0,L3,73.0,15.169,16.031,14.358,14.013,13.698
SDSS J020608.97+223559.2,L4.5 blue,74.5,15.538,16.556,15.162,14.3,13.876
SDSS J020735.60+135556.3,L3,73.0,14.474,15.462,13.808,13.487,13.298
SDSS J020735.60+135556.3,L3:,73.0,14.474,15.462,13.808,13.487,13.298
SDSS J021128.25+141003.8,L1,71.0,15.423,16.128,15.009,14.558,14.363
SDSS J022754.95+002619.9,L0,70.0,15.869,16.531,15.322,15.071,14.877
SDSS J023547.56-084919.8,L2,72.0,14.812,15.571,14.191,13.788,13.543
SDSS J024256.98+212319.6,L4,74.0,15.938,16.977,15.474,14.687,14.375
SDSS J024749.90-163112.6,T2:,82.0,16.17,17.186,15.616,15.177,14.42
SDSS J025601.86+011047.2,L0,70.0,15.696,16.212,15.216,14.959,14.693
SDSS J030536.54-064216.3,L0,70.0,15.51,15.987,14.758,14.606,14.367
SDSS J031740.38+061303.8,L3,73.0,15.6,16.365,14.908,14.672,14.515
SDSS J034408.91+011124.9,L1,71.0,13.913,14.737,13.516,13.103,12.794
SDSS J034408.91+011124.9,L2.9:,72.9,13.913,14.737,13.516,13.103,12.794
SDSS J035048.62-051812.8,L1,71.0,15.525,16.327,15.125,14.721,14.507
SDSS J035308.54+103056.0,L0.9,70.9,14.651,15.45,14.181,13.747,13.512
SDSS J035308.54+103056.0,L1,71.0,14.651,15.45,14.181,13.747,13.512
SDSS J035448.73-002742.1,L2:,72.0,16.19,17.282,15.739,15.706,15.473
SDSS J035721.11-064126.0,L0,70.0,15.06,15.953,14.599,14.411,14.234
SDSS J042230.66+072342.9,L1,71.0,14.915,15.771,14.446,14.074,13.882
SDSS J062621.22+002934.2,L0.3,70.3,15.21,15.93,14.86,14.338,14.164
SDSS J062621.22+002934.2,L1,71.0,15.21,15.93,14.86,14.338,14.164
SDSS J065405.63+652805.4,L6:,76.0,15.196,16.138,14.603,14.029,13.76
SDSS J073519.59+410850.4,L0,70.0,15.248,15.78,14.853,14.446,14.107
SDSS J073922.26+661503.5,T1.5:,81.5,15.998,16.823,15.831,15.461,14.669
SDSS J074007.30+200921.9,L6:,76.0,15.745,17.291,15.084,14.428,14.078
SDSS J074227.46+412620.8,L0,70.0,14.018,14.784,13.593,13.302,13.084
SDSS J074231.29+180816.5,L0,70.0,14.108,14.881,13.643,13.316,13.046
SDSS J074434.60+320705.1,L0,70.0,15.662,16.332,15.41,,14.794
SDSS J074515.08+254619.1,L0,70.0,15.655,16.436,15.328,14.964,14.781
SDSS J074656.83+251019.0,L0,70.0,15.716,16.763,15.744,15.375,15.245
SDSS J074756.31+394732.9,L0,70.0,14.163,15.076,13.724,13.385,13.191
SDSS J074838.61+174332.9,L5 FLD-G,75.0,15.18,16.27,14.42,13.708,13.36
SDSS J075004.93+330618.0,L0,70.0,15.365,16.141,15.195,14.674,14.457
SDSS J075054.74+445418.7,L0,70.0,14.456,15.132,14.247,13.759,13.443
SDSS J075256.70+173433.8,L0,70.0,15.8,16.43,15.34,15.403,15.223
SDSS J075259.43+413634.6,L0,70.0,15.601,16.356,15.17,14.901,14.699
SDSS J075515.26+293445.4,L3.5:,73.5,16.231,17.229,15.638,15.086,14.888
SDSS J075656.54+231458.5,L3.5:,73.5,15.552,16.773,14.994,14.201,13.899
SDSS J075752.70+091410.0,L3.7:,73.7,14.83,15.86,14.09,13.632,13.384
SDSS J075910.45+242712.5,L0,70.0,14.98,15.736,14.479,14.2,14.007
SDSS J080027.57+551134.1,L1,71.0,13.819,14.623,13.36,12.889,12.561
SDSS J080048.13+465825.5,L1.3,71.3,14.549,15.513,14.315,13.809,13.565
SDSS J080048.13+465825.5,L2,72.0,14.549,15.513,14.315,13.809,13.565
SDSS J080054.27+241316.8,L0,70.0,14.99,15.798,14.684,14.441,14.304
SDSS J080159.52+480628.6,L0,70.0,15.06,16.012,14.818,14.415,14.103
SDSS J080322.77+123845.3,L2.5,72.5,15.436,16.308,15.227,14.674,14.385
SDSS J080531.84+481233.0,L4,74.0,13.917,14.734,13.444,12.952,12.529
SDSS J080531.84+481233.0,L9:,79.0,13.917,14.734,13.444,12.952,12.529
SDSS J080550.06+533531.4,L0,70.0,15.504,16.21,15.042,14.818,14.669
SDSS J081301.02+322807.9,L3,73.0,15.088,15.953,14.539,14.191,13.977
SDSS J081556.74+452411.8,L1,71.0,15.233,16.057,14.812,14.569,14.315
SDSS J081752.63+194727.6,L0,70.0,14.829,15.573,14.35,13.974,13.726
SDSS J081802.24+582920.9,L0,70.0,15.497,16.329,15.236,14.493,14.188
SDSS J081812.28+331048.2,L0,70.0,15.368,15.985,15.063,14.324,14.096
SDSS J081812.28+331048.2,L1.3,71.3,15.368,15.985,15.063,14.324,14.096
SDSS J082030.12+103737.0,L9.5::,79.5,16.079,16.98,15.538,14.694,14.241
SDSS J082115.06+333651.2,L0,70.0,15.626,16.495,15.062,14.767,14.469
SDSS J082612.27+544735.4,L0,70.0,15.587,16.364,15.261,14.931,14.688
SDSS J082642.65+193922.0,L0,70.0,14.009,14.777,13.581,13.272,12.98
