source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J112118.57+433246.5,L7.5,77.5,16.231,17.006,15.572,15.492,15.254
SDSS J112210.27+340432.5,L1,71.0,,,,14.406,14.156
SDSS J112505.01+055642.3,L0,70.0,14.852,15.532,14.488,14.096,13.917
SDSS J112615.25+012048.2,L6,76.0,15.781,16.913,14.921,14.232,13.772
SDSS J112647.03+581632.2,L1.3,71.3,,,,14.212,13.973
SDSS J112647.03+581632.2,L3,73.0,,,,14.212,13.973
SDSS J112706.62+470548.1,L1,71.0,,,,13.592,13.349
SDSS J112720.55+593633.1,L0,70.0,15.76,16.82,15.56,15.306,15.067
SDSS J113035.14-005225.7,L0,70.0,,,,13.684,13.463
SDSS J113344.68+131126.4,L1,71.0,14.933,15.698,14.422,14.054,13.822
SDSS J113826.35+333114.1,L0,70.0,14.767,15.591,14.314,13.948,13.721
SDSS J113833.10+674040.3,L0,70.0,14.482,15.215,13.95,13.659,13.389
SDSS J113941.90-031004.2,L0,70.0,13.71,14.4,13.203,12.911,12.66
SDSS J114144.14+411656.8,L0,70.0,14.784,15.683,14.567,14.166,13.892
SDSS J114251.67+640019.9,L0,70.0,16.189,16.601,15.762,15.209,15.049
SDSS J114804.26+025405.7,L0,70.0,15.376,16.112,15.203,14.492,14.279
SDSS J114805.02+020350.9,L1,71.0,15.01,15.517,14.509,14.183,13.901
SDSS J115013.17+052012.3,L5.5,75.5,15.455,16.252,15.016,14.015,13.712
SDSS J115250.06+643252.5,L2,72.0,,,,13.713,13.431
SDSS J115306.12+371653.4,L0,70.0,15.79,16.384,15.561,15.244,14.986
SDSS J115435.31+623438.2,L0,70.0,,,,13.927,13.673
SDSS J115700.50+061105.2,T1.5,81.5,,,,15.379,14.623
SDSS J115804.70+644720.4,L0,70.0,,,,14.84,14.629
SDSS J115940.72+540938.6,L0.9,70.9,14.339,15.216,13.755,13.401,13.202
SDSS J115940.72+540938.6,L2,72.0,14.339,15.216,13.755,13.401,13.202
SDSS J115948.00+383016.3,L0,70.0,15.741,16.394,15.304,15.05,14.834
SDSS J120020.66+340615.4,L1,71.0,,,,14.537,14.273
SDSS J120250.00+420452.2,L0,70.0,13.694,14.499,13.259,13.625,13.406
SDSS J120252.65-022748.4,L0,70.0,15.04,15.737,14.374,14.127,13.893
SDSS J120358.19+001550.3,L3,73.0,13.056,14.006,12.476,11.914,11.655
SDSS J120358.19+001550.3,L5.0,75.0,13.056,14.006,12.476,11.914,11.655
SDSS J120543.42+605728.3,L0,70.0,,,,14.904,14.64
SDSS J120602.51+281328.7,T3,83.0,,,,15.14,14.003
SDSS J120610.49+624257.2,L1,71.0,,,,13.608,13.38
SDSS J120610.49+624257.2,L2.1,72.1,,,,13.608,13.38
SDSS J120637.41-014332.2,L1,71.0,,,,16.376,16.183
SDSS J120821.72+445224.6,L0,70.0,15.114,15.926,14.711,14.403,14.166
SDSS J120831.49+014924.7,L0,70.0,14.415,15.129,14.095,13.57,13.33
SDSS J120906.49+323327.5,L0,70.0,14.611,15.301,14.17,13.904,13.623
SDSS J120916.20+542949.5,L1,71.0,,,,13.745,13.574
SDSS J121001.96+030739.2,L4.5,74.5,,,,15.76,15.535
